#,Name,Types,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary
396,Starly,NormalFlying,245,40,55,30,30,30,60,4,0
397,Staravia,NormalFlying,340,55,75,50,40,40,80,4,0
398,Staraptor,NormalFlying,485,85,120,70,50,60,100,4,0
399,Bidoof,Normal,250,59,45,40,35,40,31,4,0
400,Bibarel,NormalWater,410,79,85,60,55,60,71,4,0
401,Kricketot,Bug,194,37,25,41,25,41,25,4,0
402,Kricketune,Bug,384,77,85,51,55,51,65,4,0
403,Shinx,Electric,263,45,65,34,40,34,45,4,0
404,Luxio,Electric,363,60,85,49,60,49,60,4,0
405,Luxray,Electric,523,80,120,79,95,79,70,4,0
406,Budew,GrassPoison,280,40,30,35,50,70,55,4,0
407,Roserade,GrassPoison,515,60,70,65,125,105,90,4,0
408,Cranidos,Rock,350,67,125,40,30,30,58,4,0
409,Rampardos,Rock,495,97,165,60,65,50,58,4,0
410,Shieldon,RockSteel,350,30,42,118,42,88,30,4,0
411,Bastiodon,RockSteel,495,60,52,168,47,138,30,4,0
412,Burmy,Bug,224,40,29,45,29,45,36,4,0
413,WormadamPlantCloak,BugGrass,424,60,59,85,79,105,36,4,0
413,WormadamSandyCloak,BugGround,424,60,79,105,59,85,36,4,0
413,WormadamTrashCloak,BugSteel,424,60,69,95,69,95,36,4,0
414,Mothim,BugFlying,424,70,94,50,94,50,66,4,0
415,Combee,BugFlying,244,30,30,42,30,42,70,4,0
416,Vespiquen,BugFlying,474,70,80,102,80,102,40,4,0
417,Pachirisu,Electric,405,60,45,70,45,90,95,4,0
418,Buizel,Water,330,55,65,35,60,30,85,4,0
419,Floatzel,Water,495,85,105,55,85,50,115,4,0
420,Cherubi,Grass,275,45,35,45,62,53,35,4,0
421,Cherrim,Grass,450,70,60,70,87,78,85,4,0
422,Shellos,Water,325,76,48,48,57,62,34,4,0
423,Gastrodon,WaterGround,475,111,83,68,92,82,39,4,0
424,Ambipom,Normal,482,75,100,66,60,66,115,4,0
425,Drifloon,GhostFlying,348,90,50,34,60,44,70,4,0
426,Drifblim,GhostFlying,498,150,80,44,90,54,80,4,0
427,Buneary,Normal,350,55,66,44,44,56,85,4,0
428,Lopunny,Normal,480,65,76,84,54,96,105,4,0
428,Mega-Lopunny,NormalFighting,580,65,136,94,54,96,135,4,0
429,Mismagius,Ghost,495,60,60,60,105,105,105,4,0
430,Honchkrow,DarkFlying,505,100,125,52,105,52,71,4,0
431,Glameow,Normal,310,49,55,42,42,37,85,4,0
432,Purugly,Normal,452,71,82,64,64,59,112,4,0
433,Chingling,Psychic,285,45,30,50,65,50,45,4,0
434,Stunky,PoisonDark,329,63,63,47,41,41,74,4,0
435,Skuntank,PoisonDark,479,103,93,67,71,61,84,4,0
436,Bronzor,SteelPsychic,300,57,24,86,24,86,23,4,0
437,Bronzong,SteelPsychic,500,67,89,116,79,116,33,4,0
438,Bonsly,Rock,290,50,80,95,10,45,10,4,0
439,MimeJr.,PsychicFairy,310,20,25,45,70,90,60,4,0
440,Happiny,Normal,220,100,5,5,15,65,30,4,0
441,Chatot,NormalFlying,411,76,65,45,92,42,91,4,0
442,Spiritomb,GhostDark,485,50,92,108,92,108,35,4,0
443,Gible,DragonGround,300,58,70,45,40,45,42,4,0
444,Gabite,DragonGround,410,68,90,65,50,55,82,4,0
445,Garchomp,DragonGround,600,108,130,95,80,85,102,4,0
445,Mega-Garchomp,DragonGround,700,108,170,115,120,95,92,4,0
446,Munchlax,Normal,390,135,85,40,40,85,5,4,0
447,Riolu,Fighting,285,40,70,40,35,40,60,4,0
448,Lucario,FightingSteel,525,70,110,70,115,70,90,4,0
448,Mega-Lucario,FightingSteel,625,70,145,88,140,70,112,4,0
449,Hippopotas,Ground,330,68,72,78,38,42,32,4,0
450,Hippowdon,Ground,525,108,112,118,68,72,47,4,0
451,Skorupi,PoisonBug,330,40,50,90,30,55,65,4,0
452,Drapion,PoisonDark,500,70,90,110,60,75,95,4,0
453,Croagunk,PoisonFighting,300,48,61,40,61,40,50,4,0
454,Toxicroak,PoisonFighting,490,83,106,65,86,65,85,4,0
455,Carnivine,Grass,454,74,100,72,90,72,46,4,0
456,Finneon,Water,330,49,49,56,49,61,66,4,0
457,Lumineon,Water,460,69,69,76,69,86,91,4,0
458,Mantyke,WaterFlying,345,45,20,50,60,120,50,4,0
459,Snover,GrassIce,334,60,62,50,62,60,40,4,0
460,Abomasnow,GrassIce,494,90,92,75,92,85,60,4,0
460,Mega-Abomasnow,GrassIce,594,90,132,105,132,105,30,4,0
461,Weavile,DarkIce,510,70,120,65,45,85,125,4,0
462,Magnezone,ElectricSteel,535,70,70,115,130,90,60,4,0
463,Lickilicky,Normal,515,110,85,95,80,95,50,4,0
464,Rhyperior,GroundRock,535,115,140,130,55,55,40,4,0
465,Tangrowth,Grass,535,100,100,125,110,50,50,4,0
466,Electivire,Electric,540,75,123,67,95,85,95,4,0
467,Magmortar,Fire,540,75,95,67,125,95,83,4,0
468,Togekiss,FairyFlying,545,85,50,95,120,115,80,4,0
469,Yanmega,BugFlying,515,86,76,86,116,56,95,4,0
470,Leafeon,Grass,525,65,110,130,60,65,95,4,0
471,Glaceon,Ice,525,65,60,110,130,95,65,4,0
472,Gliscor,GroundFlying,510,75,95,125,45,75,95,4,0
473,Mamoswine,IceGround,530,110,130,80,70,60,80,4,0
474,Porygon-Z,Normal,535,85,80,70,135,75,90,4,0
475,Gallade,PsychicFighting,518,68,125,65,65,115,80,4,0
475,Mega-Gallade,PsychicFighting,618,68,165,95,65,115,110,4,0
476,Probopass,RockSteel,525,60,55,145,75,150,40,4,0
477,Dusknoir,Ghost,525,45,100,135,65,135,45,4,0
478,Froslass,IceGhost,480,70,80,70,80,70,110,4,0
479,Rotom,ElectricGhost,440,50,50,77,95,77,91,4,0
479,Rotom Heat,ElectricFire,520,50,65,107,105,107,86,4,0
479,Rotom Wash,ElectricWater,520,50,65,107,105,107,86,4,0
479,Rotom Frost,ElectricIce,520,50,65,107,105,107,86,4,0
479,Rotom Fan,ElectricFlying,520,50,65,107,105,107,86,4,0
479,Rotom Mow,ElectricGrass,520,50,65,107,105,107,86,4,0
480,Uxie,Psychic,580,75,75,130,75,130,95,4,1
481,Mesprit,Psychic,580,80,105,105,105,105,80,4,1
482,Azelf,Psychic,580,75,125,70,125,70,115,4,1
483,Dialga,SteelDragon,680,100,120,120,150,100,90,4,1
484,Palkia,WaterDragon,680,90,120,100,150,120,100,4,1
485,Heatran,FireSteel,600,91,90,106,130,106,77,4,1
486,Regigigas,Normal,670,110,160,110,80,110,100,4,1
487,Giratina Altered Form,GhostDragon,680,150,100,120,100,120,90,4,1
487,Giratina Origin Form,GhostDragon,680,150,120,100,120,100,90,4,1
488,Cresselia,Psychic,600,120,70,120,75,130,85,4,0
489,Phione,Water,480,80,80,80,80,80,80,4,0
490,Manaphy,Water,600,100,100,100,100,100,100,4,0
491,Darkrai,Dark,600,70,90,90,135,90,125,4,1
492,Shaymin Land Form,Grass,600,100,100,100,100,100,100,4,1
492,Shaymin Sky Form,GrassFlying,600,100,103,75,120,75,127,4,1
493,Arceus,Normal,720,120,120,120,120,120,120,4,1
494,Victini,PsychicFire,600,100,100,100,100,100,100,5,1
495,Snivy,Grass,308,45,45,55,45,55,63,5,0
496,Servine,Grass,413,60,60,75,60,75,83,5,0
497,Serperior,Grass,528,75,75,95,75,95,113,5,0
498,Tepig,Fire,308,65,63,45,45,45,45,5,0
499,Pignite,FireFighting,418,90,93,55,70,55,55,5,0
500,Emboar,FireFighting,528,110,123,65,100,65,65,5,0
501,Oshawott,Water,308,55,55,45,63,45,45,5,0
502,Dewott,Water,413,75,75,60,83,60,60,5,0
503,Samurott,Water,528,95,100,85,108,70,70,5,0
504,Patrat,Normal,255,45,55,39,35,39,42,5,0
505,Watchog,Normal,420,60,85,69,60,69,77,5,0
506,Lillipup,Normal,275,45,60,45,25,45,55,5,0
507,Herdier,Normal,370,65,80,65,35,65,60,5,0
508,Stoutland,Normal,500,85,110,90,45,90,80,5,0
509,Purrloin,Dark,281,41,50,37,50,37,66,5,0
510,Liepard,Dark,446,64,88,50,88,50,106,5,0
511,Pansage,Grass,316,50,53,48,53,48,64,5,0
512,Simisage,Grass,498,75,98,63,98,63,101,5,0
513,Pansear,Fire,316,50,53,48,53,48,64,5,0
514,Simisear,Fire,498,75,98,63,98,63,101,5,0
515,Panpour,Water,316,50,53,48,53,48,64,5,0
516,Simipour,Water,498,75,98,63,98,63,101,5,0
517,Munna,Psychic,292,76,25,45,67,55,24,5,0
518,Musharna,Psychic,487,116,55,85,107,95,29,5,0
519,Pidove,NormalFlying,264,50,55,50,36,30,43,5,0
520,Tranquill,NormalFlying,358,62,77,62,50,42,65,5,0
521,Unfezant,NormalFlying,488,80,115,80,65,55,93,5,0
522,Blitzle,Electric,295,45,60,32,50,32,76,5,0
523,Zebstrika,Electric,497,75,100,63,80,63,116,5,0
524,Roggenrola,Rock,280,55,75,85,25,25,15,5,0
525,Boldore,Rock,390,70,105,105,50,40,20,5,0
526,Gigalith,Rock,515,85,135,130,60,80,25,5,0
527,Woobat,PsychicFlying,313,55,45,43,55,43,72,5,0
528,Swoobat,PsychicFlying,425,67,57,55,77,55,114,5,0
529,Drilbur,Ground,328,60,85,40,30,45,68,5,0
530,Excadrill,GroundSteel,508,110,135,60,50,65,88,5,0
531,Audino,Normal,445,103,60,86,60,86,50,5,0
531,Mega-Audino,NormalFairy,545,103,60,126,80,126,50,5,0
532,Timburr,Fighting,305,75,80,55,25,35,35,5,0
533,Gurdurr,Fighting,405,85,105,85,40,50,40,5,0
534,Conkeldurr,Fighting,505,105,140,95,55,65,45,5,0
535,Tympole,Water,294,50,50,40,50,40,64,5,0
536,Palpitoad,WaterGround,384,75,65,55,65,55,69,5,0
537,Seismitoad,WaterGround,509,105,95,75,85,75,74,5,0
538,Throh,Fighting,465,120,100,85,30,85,45,5,0
539,Sawk,Fighting,465,75,125,75,30,75,85,5,0
540,Sewaddle,BugGrass,310,45,53,70,40,60,42,5,0
541,Swadloon,BugGrass,380,55,63,90,50,80,42,5,0
542,Leavanny,BugGrass,500,75,103,80,70,80,92,5,0
543,Venipede,BugPoison,260,30,45,59,30,39,57,5,0
544,Whirlipede,BugPoison,360,40,55,99,40,79,47,5,0
545,Scolipede,BugPoison,485,60,100,89,55,69,112,5,0
546,Cottonee,GrassFairy,280,40,27,60,37,50,66,5,0
547,Whimsicott,GrassFairy,480,60,67,85,77,75,116,5,0
548,Petilil,Grass,280,45,35,50,70,50,30,5,0
549,Lilligant,Grass,480,70,60,75,110,75,90,5,0
550,Basculin,Water,460,70,92,65,80,55,98,5,0
551,Sandile,GroundDark,292,50,72,35,35,35,65,5,0
552,Krokorok,GroundDark,351,60,82,45,45,45,74,5,0
553,Krookodile,GroundDark,519,95,117,80,65,70,92,5,0
554,Darumaka,Fire,315,70,90,45,15,45,50,5,0
555,Darmanitan Standard Mode,Fire,480,105,140,55,30,55,95,5,0
555,Darmanitan Zen Mode,FirePsychic,540,105,30,105,140,105,55,5,0
555,Darmanitan Galarian Standard Mode,Ice,480,105,140,55,30,55,95,5,0
555,Darmanitan Galarian Zen Mode,FireIce,540,105,160,55,30,55,135,5,0
556,Maractus,Grass,461,75,86,67,106,67,60,5,0
557,Dwebble,BugRock,325,50,65,85,35,35,55,5,0
558,Crustle,BugRock,475,70,95,125,65,75,45,5,0
559,Scraggy,DarkFighting,348,50,75,70,35,70,48,5,0
560,Scrafty,DarkFighting,488,65,90,115,45,115,58,5,0
561,Sigilyph,PsychicFlying,490,72,58,80,103,80,97,5,0
562,Yamask,Ghost,303,38,30,85,55,65,30,5,0
563,Cofagrigus,Ghost,483,58,50,145,95,105,30,5,0
564,Tirtouga,WaterRock,355,54,78,103,53,45,22,5,0
565,Carracosta,WaterRock,495,74,108,133,83,65,32,5,0
566,Archen,RockFlying,401,55,112,45,74,45,70,5,0
567,Archeops,RockFlying,567,75,140,65,112,65,110,5,0
568,Trubbish,Poison,329,50,50,62,40,62,65,5,0
569,Garbodor,Poison,474,80,95,82,60,82,75,5,0
570,Zorua,Dark,330,40,65,40,80,40,65,5,0
571,Zoroark,Dark,510,60,105,60,120,60,105,5,0
572,Minccino,Normal,300,55,50,40,40,40,75,5,0
573,Cinccino,Normal,470,75,95,60,65,60,115,5,0
574,Gothita,Psychic,290,45,30,50,55,65,45,5,0
575,Gothorita,Psychic,390,60,45,70,75,85,55,5,0
576,Gothitelle,Psychic,490,70,55,95,95,110,65,5,0
577,Solosis,Psychic,290,45,30,40,105,50,20,5,0
578,Duosion,Psychic,370,65,40,50,125,60,30,5,0
579,Reuniclus,Psychic,490,110,65,75,125,85,30,5,0
580,Ducklett,WaterFlying,305,62,44,50,44,50,55,5,0
581,Swanna,WaterFlying,473,75,87,63,87,63,98,5,0
582,Vanillite,Ice,305,36,50,50,65,60,44,5,0
583,Vanillish,Ice,395,51,65,65,80,75,59,5,0
584,Vanilluxe,Ice,535,71,95,85,110,95,79,5,0
585,Deerling,NormalGrass,335,60,60,50,40,50,75,5,0
586,Sawsbuck,NormalGrass,475,80,100,70,60,70,95,5,0
587,Emolga,ElectricFlying,428,55,75,60,75,60,103,5,0
588,Karrablast,Bug,315,50,75,45,40,45,60,5,0
589,Escavalier,BugSteel,495,70,135,105,60,105,20,5,0
590,Foongus,GrassPoison,294,69,55,45,55,55,15,5,0
591,Amoonguss,GrassPoison,464,114,85,70,85,80,30,5,0
592,Frillish,WaterGhost,335,55,40,50,65,85,40,5,0
593,Jellicent,WaterGhost,480,100,60,70,85,105,60,5,0
594,Alomomola,Water,470,165,75,80,40,45,65,5,0
595,Joltik,BugElectric,319,50,47,50,57,50,65,5,0
596,Galvantula,BugElectric,472,70,77,60,97,60,108,5,0
597,Ferroseed,GrassSteel,305,44,50,91,24,86,10,5,0
598,Ferrothorn,GrassSteel,489,74,94,131,54,116,20,5,0
599,Klink,Steel,300,40,55,70,45,60,30,5,0
600,Klang,Steel,440,60,80,95,70,85,50,5,0
601,Klinklang,Steel,520,60,100,115,70,85,90,5,0
602,Tynamo,Electric,275,35,55,40,45,40,60,5,0
603,Eelektrik,Electric,405,65,85,70,75,70,40,5,0
604,Eelektross,Electric,515,85,115,80,105,80,50,5,0
605,Elgyem,Psychic,335,55,55,55,85,55,30,5,0
606,Beheeyem,Psychic,485,75,75,75,125,95,40,5,0
607,Litwick,GhostFire,275,50,30,55,65,55,20,5,0
608,Lampent,GhostFire,370,60,40,60,95,60,55,5,0
609,Chandelure,GhostFire,520,60,55,90,145,90,80,5,0
610,Axew,Dragon,320,46,87,60,30,40,57,5,0
611,Fraxure,Dragon,410,66,117,70,40,50,67,5,0
612,Haxorus,Dragon,540,76,147,90,60,70,97,5,0
613,Cubchoo,Ice,305,55,70,40,60,40,40,5,0
614,Beartic,Ice,485,95,110,80,70,80,50,5,0
615,Cryogonal,Ice,485,70,50,30,95,135,105,5,0
616,Shelmet,Bug,305,50,40,85,40,65,25,5,0
617,Accelgor,Bug,495,80,70,40,100,60,145,5,0
618,Stunfisk,GroundElectric,471,109,66,84,81,99,32,5,0
619,Mienfoo,Fighting,350,45,85,50,55,50,65,5,0
620,Mienshao,Fighting,510,65,125,60,95,60,105,5,0
621,Druddigon,Dragon,485,77,120,90,60,90,48,5,0
622,Golett,GroundGhost,303,59,74,50,35,50,35,5,0
623,Golurk,GroundGhost,483,89,124,80,55,80,55,5,0
624,Pawniard,DarkSteel,340,45,85,70,40,40,60,5,0
625,Bisharp,DarkSteel,490,65,125,100,60,70,70,5,0
626,Bouffalant,Normal,490,95,110,95,40,95,55,5,0
627,Rufflet,NormalFlying,350,70,83,50,37,50,60,5,0
628,Braviary,NormalFlying,510,100,123,75,57,75,80,5,0
629,Vullaby,DarkFlying,370,70,55,75,45,65,60,5,0
630,Mandibuzz,DarkFlying,510,110,65,105,55,95,80,5,0
631,Heatmor,Fire,484,85,97,66,105,66,65,5,0
632,Durant,BugSteel,484,58,109,112,48,48,109,5,0
633,Deino,DarkDragon,300,52,65,50,45,50,38,5,0
634,Zweilous,DarkDragon,420,72,85,70,65,70,58,5,0
635,Hydreigon,DarkDragon,600,92,105,90,125,90,98,5,0
636,Larvesta,Bug Fire,360,55,85,55,50,55,60,5,0
637,Volcarona,Bug Fire,550,85,60,65,135,105,100,5,0
638,Cobalion,SteelFighting,580,91,90,129,90,72,108,5,1
639,Terrakion,RockFighting,580,91,129,90,72,90,108,5,1
640,Virizion,GrassFighting,580,91,90,72,90,129,108,5,1
641,Tornadus Incarnate Form,Flying,580,79,115,70,125,80,111,5,1
641,Tornadus Therian Form,Flying,580,79,100,80,110,90,121,5,1
642,Thundurus Incarnate Form,ElectricFlying,580,79,115,70,125,80,111,5,1
642,Thundurus Therian Form,ElectricFlying,580,79,105,70,145,80,101,5,1
643,Reshiram,DragonFire,680,100,120,100,150,120,90,5,1
644,Zekrom,DragonElectric,680,100,150,120,120,100,90,5,1
645,Landorus Incarnate Form,GroundFlying,600,89,125,90,115,80,101,5,1
645,Landorus Therian Form,GroundFlying,600,89,145,90,105,80,91,5,1
646,Kyurem,DragonIce,660,125,130,90,130,90,95,5,1
646,Black-Kyurem,DragonIce,700,125,170,100,120,90,95,5,1
646,White-Kyurem,DragonIce,700,125,120,90,170,100,95,5,1
647,Keldeo Ordinary Form,WaterFighting,580,91,72,90,129,90,108,5,0
647,Keldeo Resolute Form,WaterFighting,580,91,72,90,129,90,108,5,0
648,Meloetta Aria Form,NormalPsychic,600,100,77,77,128,128,90,5,0
648,Meloetta Pirouette Form,NormalFighting,600,100,128,90,77,77,128,5,0
649,Genesect,BugSteel,600,71,120,95,120,95,99,5,0
650,Chespin,Grass,313,56,61,65,48,45,38,6,0
651,Quilladin,Grass,405,61,78,95,56,58,57,6,0
652,Chesnaught,GrassFighting,530,88,107,122,74,75,64,6,0
653,Fennekin,Fire,307,40,45,40,62,60,60,6,0
654,Braixen,Fire,409,59,59,58,90,70,73,6,0
655,Delphox,FirePsychic,534,75,69,72,114,100,104,6,0
656,Froakie,Water,314,41,56,40,62,44,71,6,0
657,Frogadier,Water,405,54,63,52,83,56,97,6,0
658,Greninja,WaterDark,530,72,95,67,103,71,122,6,0
659,Bunnelby,Normal,237,38,36,38,32,36,57,6,0
660,Diggersby,NormalGround,423,85,56,77,50,77,78,6,0
661,Fletchling,NormalFlying,278,45,50,43,40,38,62,6,0
662,Fletchinder,FireFlying,382,62,73,55,56,52,84,6,0
663,Talonflame,FireFlying,499,78,81,71,74,69,126,6,0
664,Scatterbug,Bug,200,38,35,40,27,25,35,6,0
665,Spewpa,Bug,213,45,22,60,27,30,29,6,0
666,Vivillon,BugFlying,411,80,52,50,90,50,89,6,0
667,Litleo,FireNormal,369,62,50,58,73,54,72,6,0
668,Pyroar,FireNormal,507,86,68,72,109,66,106,6,0
669,Flabébé,Fairy,303,44,38,39,61,79,42,6,0
670,Floette,Fairy,371,54,45,47,75,98,52,6,0
671,Florges,Fairy,552,78,65,68,112,154,75,6,0
672,Skiddo,Grass,350,66,65,48,62,57,52,6,0
673,Gogoat,Grass,531,123,100,62,97,81,68,6,0
674,Pancham,Fighting,348,67,82,62,46,48,43,6,0
675,Pangoro,FightingDark,495,95,124,78,69,71,58,6,0
676,Furfrou,Normal,472,75,80,60,65,90,102,6,0
677,Espurr,Psychic,355,62,48,54,63,60,68,6,0
678,Meowstic Male,Psychic,466,74,48,76,83,81,104,6,0
678,Meowstic Female,Psychic,466,74,48,76,83,81,104,6,0
679,Honedge,SteelGhost,325,45,80,100,35,37,28,6,0
680,Doublade,SteelGhost,448,59,110,150,45,49,35,6,0
681,Aegislash Blade Form,SteelGhost,520,60,140,50,140,50,60,6,0
681,Aegislash Shield Form,SteelGhost,520,60,50,140,50,140,60,6,0
682,Spritzee,Fairy,341,78,52,60,63,65,23,6,0
683,Aromatisse,Fairy,462,101,72,72,99,89,29,6,0
684,Swirlix,Fairy,341,62,48,66,59,57,49,6,0
685,Slurpuff,Fairy,480,82,80,86,85,75,72,6,0
686,Inkay,DarkPsychic,288,53,54,53,37,46,45,6,0
687,Malamar,DarkPsychic,482,86,92,88,68,75,73,6,0
688,Binacle,RockWater,306,42,52,67,39,56,50,6,0
689,Barbaracle,RockWater,500,72,105,115,54,86,68,6,0
690,Skrelp,PoisonWater,320,50,60,60,60,60,30,6,0
691,Dragalge,PoisonDragon,494,65,75,90,97,123,44,6,0
692,Clauncher,Water,330,50,53,62,58,63,44,6,0
693,Clawitzer,Water,500,71,73,88,120,89,59,6,0
694,Helioptile,ElectricNormal,289,44,38,33,61,43,70,6,0
695,Heliolisk,ElectricNormal,481,62,55,52,109,94,109,6,0
696,Tyrunt,RockDragon,362,58,89,77,45,45,48,6,0
697,Tyrantrum,RockDragon,521,82,121,119,69,59,71,6,0
698,Amaura,RockIce,362,77,59,50,67,63,46,6,0
699,Aurorus,RockIce,521,123,77,72,99,92,58,6,0
700,Sylveon,Fairy,525,95,65,65,110,130,60,6,0
701,Hawlucha,FightingFlying,500,78,92,75,74,63,118,6,0
702,Dedenne,ElectricFairy,431,67,58,57,81,67,101,6,0
703,Carbink,RockFairy,500,50,50,150,50,150,50,6,0
704,Goomy,Dragon,300,45,50,35,55,75,40,6,0
705,Sliggoo,Dragon,452,68,75,53,83,113,60,6,0
706,Goodra,Dragon,600,90,100,70,110,150,80,6,0
707,Klefki,SteelFairy,470,57,80,91,80,87,75,6,0
708,Phantump,GhostGrass,309,43,70,48,50,60,38,6,0
709,Trevenant,GhostGrass,474,85,110,76,65,82,56,6,0
710,Pumpkaboo Average-Size,GhostGrass,335,49,66,70,44,55,51,6,0
710,Pumpkaboo Small-Size,GhostGrass,335,44,66,70,44,55,56,6,0
710,Pumpkaboo Large-Size,GhostGrass,335,54,66,70,44,55,46,6,0
710,Pumpkaboo Super-Size,GhostGrass,335,59,66,70,44,55,41,6,0
711,Gourgeist Average-Size,GhostGrass,494,65,90,122,58,75,84,6,0
711,Gourgeist Small-Size,GhostGrass,494,55,85,122,58,75,99,6,0
711,Gourgeist Large-Size,GhostGrass,494,75,95,122,58,75,69,6,0
711,Gourgeist Super-Size,GhostGrass,494,85,100,122,58,75,54,6,0
712,Bergmite,Ice,304,55,69,85,32,35,28,6,0
713,Avalugg,Ice,514,95,117,184,44,46,28,6,0
714,Noibat,FlyingDragon,245,40,30,35,45,40,55,6,0
715,Noivern,FlyingDragon,535,85,70,80,97,80,123,6,0
716,Xerneas,Fairy,680,126,131,95,131,98,99,6,1
717,Yveltal,DarkFlying,680,126,131,95,131,98,99,6,1
718,Zygarde 50% Form,DragonGround,600,108,100,121,81,95,95,6,1
718,Zygarde 100% Form,DragonGround,708,216,100,121,91,95,85,6,1
719,Diancie,RockFairy,600,50,100,150,100,150,50,6,1
719,Mega-Diancie,RockFairy,700,50,160,110,160,110,110,6,1
720,Hoopa Confined,PsychicGhost,600,80,110,60,150,130,70,6,1
720,Hoopa Unbound,PsychicDark,680,80,160,60,170,130,80,6,1
721,Volcanion,FireWater,600,80,110,120,130,90,70,6,1
722,Rowlet,GrassFlying,320,68,55,55,50,50,42,7,0
723,Dartrix,GrassFlying,420,78,75,75,70,70,52,7,0
724,Decidueye,GrassGhost,530,78,107,75,100,100,70,7,0
725,Litten,Fire,320,45,65,40,60,40,70,7,0
726,Torracat,Fire,420,65,85,50,80,50,90,7,0
727,Incineroar,FireDark,530,95,115,90,80,90,60,7,0
728,Popplio,Water,320,50,54,54,66,56,40,7,0
729,Brionne,Water,420,60,69,69,91,81,50,7,0
730,Primarina,WaterFairy,530,80,74,74,126,116,60,7,0
731,Pikipek,NormalFlying,265,35,75,30,30,30,65,7,0
732,Trumbeak,NormalFlying,355,55,85,50,40,50,75,7,0
733,Toucannnon,NormalFlying,485,80,120,75,75,75,60,7,0
734,Yungoos,Normal,253,48,70,30,30,30,45,7,0
735,Gumshoos,Normal,418,88,110,60,55,60,45,7,0
736,Grubbin,Bug,300,47,62,45,55,45,46,7,0
737,Charjabug,BugElectric,400,57,82,95,55,75,36,7,0
738,Vikavolt,BugElectric,500,77,70,90,145,75,43,7,0
739,Crabrawler,Fighting,338,47,82,57,42,47,63,7,0
740,Crabominable,FightingIce,478,97,132,77,62,67,43,7,0
741,Oricorio Baile Style,FireFlying,476,75,70,70,98,70,93,7,0
741,Oricorio Pom-Pom Style,ElectricFlying,476,75,70,70,98,70,93,7,0
741,Oricorio Pa'u Style,PsychicFlying,476,75,70,70,98,70,93,7,0
741,Oricorio Sensu Style,GhostFlying,476,75,70,70,98,70,93,7,0
742,Cutiefly,BugFairy,304,40,45,40,55,40,84,7,0
743,Ribombee,BugFairy,464,60,55,60,95,70,124,7,0
744,Rockruff,Rock,280,45,65,40,30,40,60,7,0
745,Lycanroc Midday Form,Rock,487,75,115,65,55,65,112,7,0
745,Lycanroc Midnight Form,Rock,487,85,115,75,55,75,82,7,0
745,Lycanroc Dusk Form,Rock,487,75,117,65,55,65,110,7,0
746,Wishiwashi Solo Form,Water,175,45,20,20,25,25,40,7,0
746,Wishiwashi School Form,Water,620,45,140,130,140,135,30,7,0
747,Mareani,PoisonWater,305,50,53,62,43,52,45,7,0
748,Toxapex,PoisonWater,495,50,63,152,53,142,35,7,0
749,Mudbray,Ground,385,70,100,70,45,55,45,7,0
750,Mudsdale,Ground,500,100,125,100,55,85,35,7,0
751,Dewpider,WaterBug,269,38,40,52,40,72,27,7,0
752,Araquanid,WaterBug,454,68,70,92,50,132,42,7,0
753,Fomantis,Grass,250,40,55,35,50,35,35,7,0
754,Lurantis,Grass,480,70,105,90,80,90,45,7,0
755,Morelull,GrassFairy,285,40,35,55,65,75,15,7,0
756,Shiinotic,GrassFairy,405,60,45,80,90,100,30,7,0
757,Salandit,PoisonFire,320,48,44,40,71,40,77,7,0
758,Salazzle,PoisonFire,480,68,64,60,111,60,117,7,0
759,Stufful,NormalFighting,340,70,75,50,45,50,50,7,0
760,Bewear,NormalFighting,500,120,125,80,55,60,60,7,0
761,Bounsweet,Grass,210,42,30,38,30,38,32,7,0
762,Steenee,Grass,290,52,40,48,40,48,62,7,0
763,Tsareena,Grass,510,72,120,98,50,98,72,7,0
764,Comfey,Fairy,485,51,52,90,82,110,100,7,0
765,Oranguru,NormalPsychic,490,90,60,80,90,110,60,7,0
766,Passimian,Fighting,490,100,120,90,40,60,80,7,0
767,Wimpod,BugWater,230,25,35,40,20,30,80,7,0
768,Golisopod,BugWater,530,75,125,140,60,90,40,7,0
769,Sandygast,GhostGround,320,55,55,80,70,45,15,7,0
770,Palossand,GhostGround,480,85,75,110,100,75,35,7,0
771,Pyukumuku,Water,410,55,60,130,30,130,5,7,0
772,Type: Null,Normal,534,95,95,95,95,95,59,7,0
773,Silvally,Normal,570,95,95,95,95,95,95,7,0
774,Minior Meteor Form,RockFlying,440,60,60,100,60,100,60,7,0
774,Minior Core,RockFlying,500,60,100,60,100,60,120,7,0
775,Komala,Normal,480,65,115,65,75,95,65,7,0
776,Turtonator,FireDragon,485,60,78,135,91,85,36,7,0
777,Togedemaru,ElectricSteel,435,65,98,63,40,73,96,7,0
778,Mimikyu,GhostFairy,476,55,90,80,50,105,96,7,0
779,Bruxish,WaterPsychic,475,68,105,70,70,70,92,7,0
780,Drampa,NormalDragon,485,78,60,85,135,91,36,7,0
781,Dhelmise,GhostGrass,517,70,131,100,86,90,40,7,0
782,Jangmo-o,Dragon,300,45,55,65,45,45,45,7,0
783,Hakama-o,DragonFighting,420,55,75,90,65,70,65,7,0
784,Kommo-o,DragonFighting,600,75,110,125,100,105,85,7,0
785,Tapu Koko,ElectricFairy,570,70,115,85,95,75,130,7,0
786,Tapu Lele,PsychicFairy,570,70,85,75,130,115,95,7,0
